"NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","puesto","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento"
8180,379,"CORTE","masculino","LEON",1,1150,"SERIGRAFISTA",27,"Secundaria",2012-03-05,3,12,"PRELIMINAR A-B",2,1,4,2,1000,1150,150,236
8181,314,"MONTADO","femenino","LEON",1,800,"ADORNADORA",42,"Ninguno",2012-03-01,5,10,"PRELIMINAR A-B",2,0,1,0,800,800,0,0
8187,1435,"AVIO","femenino","LEON",3,1050,"PRELIMINAR B",21,"Secundaria",2012-02-29,3,47,"PRELIMINAR A-B",2,2,5,2,850,1050,200,715
8188,72,"AVIO","masculino","LEON",3,850,"PRELIMINAR B",24,"Secundaria",2012-03-05,3,2,"PRELIMINAR A-B",2,0,1,0,850,850,0,0
8189,14,"AVIO","masculino","LEON",2,950,"PRELIMINAR B",27,"Secundaria",2012-02-29,3,0,"PRELIMINAR A-B",2,0,1,0,950,950,0,0
8190,351,"AVIO","masculino","LEON",3,900,"PRELIMINAR A",25,"Secundaria",2012-03-06,3,11,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8191,1435,"AVIO","masculino","LEON",3,1300,"ENCERQUILLADOR",22,"Secundaria",2013-02-07,3,47,"CRITICO",0,0,4,3,1000,1300,300,1113
8194,422,"MONTADO","femenino","LEON",3,850,"PRELIMINAR C",59,"Secundaria",2012-03-05,6,14,"PRELIMINAR C",5,3,4,0,850,850,0,0
8195,0,"PESPUNTE","femenino","LEON",3,453.32,"PRELIMINAR B",49,"Primaria",2013-02-12,5,0,"PRELIMINAR A-B",2,1,2,0,453.32,453.32,0,0
8197,275,"PREPARADO","femenino","LEON",3,900,"PRELIMINAR B",45,"Secundaria",2012-03-12,5,9,"PRELIMINAR A-B",2,0,2,1,800,900,100,42
8198,262,"CORTE","masculino","LEON",1,1500,"CORTADOR CLICKING",47,"Primaria",2015-08-03,5,8,"CORTADOR",3,3,7,2,453.32,1500,1046.68,1274
8200,1,"MONTADO","masculino","LEON",3,1000,"CONFORMADOR",33,"Ninguno",2014-11-06,4,0,"CRITICO",0,1,4,2,1000,1200,200,819
8205,34,"MONTADO","femenino","LEON",3,800,"PRELIMINAR C",20,"Primaria",2012-05-29,2,1,"PRELIMINAR C",5,0,1,0,800,800,0,0
8206,0,"MONTADO","masculino","LEON",3,1000,"PRELIMINAR A",21,"Secundaria",2015-07-27,3,0,"PRELIMINAR A-B",2,4,6,3,800,1000,200,952
8209,86,"MONTADO","masculino","LEON",3,900,"SERIGRAFISTA",23,"Primaria",2012-03-07,3,2,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8211,648,"MONTADO","masculino","LEON",4,1000,"PRELIMINAR A",23,"Preparatoria",2012-03-08,3,21,"PRELIMINAR A-B",2,2,6,2,850,1000,150,462
8215,22,"AVIO","masculino","SILAO",3,800,"RAYADOR",22,"Secundaria",2012-03-08,3,0,"PRELIMINAR C",5,0,1,0,800,800,0,0
8216,73,"AVIO","masculino","LEON",3,1300,"COMODIN",22,"Secundaria",2015-03-17,3,2,"CRITICO",0,0,5,4,950,1300,350,1028
8217,132,"AVIO","masculino","LEON",1,1050,"EMBARRADOR SUELA",27,"Primaria",2012-03-08,3,4,"PRELIMINAR C",5,0,1,0,1050,1050,0,0
8219,1766,"AVIO","masculino","SILAO",3,1200,"EMB-AVIO",20,"Primaria",2012-03-13,2,58,"PRELIMINAR C",5,2,7,3,850,1200,350,1498
8221,134,"PESPUNTE","masculino","LEON",1,1500,"CORTADOR",39,"Ninguno",2012-03-19,4,4,"CORTADOR",3,0,1,0,1500,1500,0,0
8223,52,"CORTE","masculino","LEON",3,800,"PRELIMINAR B",20,"Primaria",2013-05-07,2,1,"PRELIMINAR A-B",2,1,4,2,800,950,150,343
8226,10,"PESPUNTE","femenino","LEON",4,453.32,"PRELIMINAR B",23,"Secundaria",2013-04-02,3,0,"PRELIMINAR A-B",2,0,2,1,453.32,800,346.68,1
8238,2,"MONTADO","masculino","LEON",3,850,"PRELIMINAR C",21,"Secundaria",2012-08-27,3,0,"PRELIMINAR C",5,0,1,0,850,850,0,0
8243,1079,"AVIO","femenino","LEON",1,900,"PRELIMINAR B",23,"Primaria",2013-01-22,3,35,"PRELIMINAR A-B",2,2,4,1,800,900,100,679
8245,619,"AVIO","masculino","SILAO",1,900,"PRELIMINAR A",35,"Secundaria",2012-03-20,4,20,"PRELIMINAR A-B",2,1,2,0,900,900,0,0
8254,451,"MONTADO","masculino","LEON",2,1050,"PRELIMINAR A",39,"Secundaria",2012-03-26,4,15,"PRELIMINAR A-B",2,0,2,1,900,1050,150,78
8255,254,"CORTE","masculino","LEON",3,1000,"PRENSAR",34,"Primaria",2012-03-26,4,8,"PRELIMINAR C",5,2,3,0,1000,1000,0,0
8256,1739,"PESPUNTE","masculino","LEON",1,2000,"A-PESPUNTADOR",44,"Primaria",2012-04-09,5,57,"PESPUNTADOR A-B",1,1,6,2,1700,2000,300,1379
8257,253,"PESPUNTE","masculino","LEON",3,1400,"PESPUNTADOR B",21,"Secundaria",2012-04-10,3,8,"PESPUNTADOR A-B",1,0,1,0,1400,1400,0,0
8258,120,"PESPUNTE","masculino","LEON",1,1800,"PESPUNTADOR A",26,"Primaria",2015-09-08,3,4,"PESPUNTADOR A-B",1,2,6,4,453.32,1800,1346.68,840
8260,938,"PESPUNTE","masculino","LEON",1,1700,"A-PESPUNTADOR",32,"Secundaria",2014-06-19,4,31,"PESPUNTADOR A-B",1,1,6,3,1500,1800,300,623
8263,288,"PREPARADO","masculino","LEON",1,0,"PRELIMINAR B",28,"Preparatoria",2012-04-10,3,9,"PRELIMINAR A-B",2,0,2,1,800,900,100,7
8265,178,"MONTADO","masculino","LEON",4,1000,"EMPACADOR",25,"Secundaria",2012-04-10,3,5,"PRELIMINAR C",5,2,4,0,1000,1000,0,0
8266,374,"MONTADO","masculino","LEON",4,1250,"EMBARRADOR SUELA",25,"Primaria",2016-01-04,3,12,"PRELIMINAR C",5,1,5,4,1000,1250,250,1323
8267,11,"MONTADO","masculino","LEON",1,800,"PRELIMINAR B",31,"Primaria",2012-08-13,4,0,"PRELIMINAR A-B",2,0,1,0,800,800,0,0
8270,8,"MONTADO","masculino","LEON",4,1000,"PRELIMINAR B",23,"Primaria",2013-10-15,3,0,"PRELIMINAR A-B",2,0,1,0,1000,1000,0,0
8297,153,"PESPUNTE","masculino","LEON",3,1000,"PRECONFORMADOR",20,"Primaria",2015-09-03,2,5,"PRELIMINAR A-B",2,1,2,1,800,1000,200,1106
8300,777,"PREPARADO","masculino","LEON",4,1500,"CORTADOR",28,"Primaria",2012-04-23,3,25,"CORTADOR",3,1,4,1,453.32,1500,1046.68,365
8303,137,"PESPUNTE","femenino","LEON",3,453.32,"PRELIMINAR B",24,"Primaria",2013-04-01,3,4,"PRELIMINAR A-B",2,1,3,1,453.32,800,346.68,128
8305,408,"MONTADO","masculino","LEON",3,1300,"COMODIN",23,"Secundaria",2014-03-25,3,13,"CRITICO",0,0,3,2,950,1300,350,693
8308,1,"MONTADO","masculino","LEON",1,1100,"EMBARRADOR ZAPATO",34,"Ninguno",2012-08-01,4,0,"PRELIMINAR C",5,1,3,2,1000,1400,400,77
8314,64,"AVIO","masculino","LEON",4,950,"PINTAR",24,"Primaria",2012-04-19,3,2,"PRELIMINAR C",5,0,2,1,850,950,100,29
8315,422,"AVIO","masculino","LEON",1,900,"PRELIMINAR B",59,"Secundaria",2012-04-20,6,14,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8316,682,"AVIO","femenino","SILAO",3,900,"PRELIMINAR C",20,"Ninguno",2013-10-08,2,22,"PRELIMINAR C",5,1,2,0,900,900,0,0
8318,190,"AVIO","femenino","SILAO",3,900,"PRELIMINAR B",20,"Secundaria",2013-01-29,2,6,"PRELIMINAR A-B",2,1,2,0,900,900,0,0
8321,76,"AVIO","masculino","LEON",3,900,"EMBARRADOR SUELA",22,"Primaria",2012-04-24,3,2,"PRELIMINAR C",5,0,1,0,900,900,0,0
8323,363,"MONTADO","femenino","LEON",3,900,"PRELIMINAR B",21,"Secundaria",2013-05-30,3,12,"PRELIMINAR A-B",2,3,5,0,900,900,0,0
8324,1717,"PESPUNTE","femenino","LEON",1,1150,"A-PRELIMINAR",26,"Secundaria",2012-05-01,3,57,"PRELIMINAR A-B",2,3,6,2,900,1150,250,1457
8325,343,"PESPUNTE","femenino","LEON",3,950,"PRELIMINAR A",28,"Ninguno",2012-04-26,3,11,"PRELIMINAR A-B",2,1,2,0,950,950,0,0
8326,113,"PREPARADO","femenino","LEON",3,900,"EMPALMADORA",22,"Primaria",2012-04-26,3,3,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8328,328,"PREPARADO","femenino","LEON",3,910,"PRELIMINAR A",21,"Ninguno",2012-04-27,3,10,"PRELIMINAR A-B",2,3,8,1,850,910,60,190
8329,376,"PREPARADO","femenino","LEON",3,910,"PRELIMINAR A",22,"Ninguno",2012-04-27,3,12,"PRELIMINAR A-B",2,1,3,1,850,910,60,190
8335,69,"MONTADO","femenino","SILAO",1,850,"PRELIMINAR B",32,"Secundaria",2012-10-04,4,2,"PRELIMINAR A-B",2,1,2,1,850,1000,150,14
8336,50,"PREPARADO","masculino","LEON",1,1400,"REBAJADOR",36,"Primaria",2012-04-26,4,1,"REBAJADOR",3,0,1,0,1400,1400,0,0
8343,281,"PESPUNTE","masculino","LEON",3,750,"PRELIMINAR B",23,"Primaria",2012-05-08,3,9,"PRELIMINAR A-B",2,2,4,1,750,850,100,168
8345,37,"PESPUNTE","femenino","LEON",3,453.32,"PRELIMINAR C",22,"Secundaria",2013-06-17,3,1,"PRELIMINAR C",5,0,2,1,453.32,910,456.68,34
8349,550,"MONTADO","masculino","LEON",3,1500,"MONTADOR TALONES",27,"Secundaria",2014-02-10,3,18,"CRITICO",0,0,2,1,1200,1500,300,617
8355,409,"MONTADO","masculino","SILAO",3,800,"PRELIMINAR C",22,"Secundaria",2012-05-15,3,13,"PRELIMINAR C",5,0,1,0,800,800,0,0
8357,10,"PREPARADO","masculino","LEON",3,1200,"PESPUNTADOR B",21,"Secundaria",2013-09-09,3,0,"PESPUNTADOR A-B",1,1,2,1,850,1200,350,162
8359,1,"MONTADO","masculino","LEON",3,1000,"PRELIMINAR B",22,"Primaria",2015-06-29,3,0,"PRELIMINAR A-B",2,0,1,0,1000,1000,0,0
8365,10,"MONTADO","femenino","LEON",1,850,"PRELIMINAR B",31,"Secundaria",2012-05-22,4,0,"PRELIMINAR A-B",2,0,1,0,850,850,0,0
8372,73,"MONTADO","masculino","LEON",4,1000,"RAYADOR",25,"Secundaria",2012-05-21,3,2,"PRELIMINAR C",5,0,1,0,1000,1000,0,0
8373,27,"MONTADO","femenino","LEON",3,800,"PRELIMINAR C",20,"Primaria",2012-11-15,2,0,"PRELIMINAR C",5,0,1,0,800,800,0,0
8374,97,"MONTADO","masculino","LEON",3,900,"PRELIMINAR A",20,"Primaria",2013-01-17,2,3,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8377,35,"AVIO","masculino","SILAO",1,850,"CARDADOR",29,"Secundaria",2012-05-16,3,1,"CRITICO",0,0,1,0,850,850,0,0
8380,1690,"PREPARADO","masculino","LEON",1,1850,"REBAJADOR",49,"Primaria",2012-05-28,5,56,"REBAJADOR",3,0,6,4,1500,1900,400,1549
8381,10,"PESPUNTE","masculino","LEON",1,1500,"PESPUNTADOR A",24,"Secundaria",2013-11-12,3,0,"PESPUNTADOR A-B",1,0,1,0,1500,1500,0,0
8383,107,"PESPUNTE","masculino","LEON",1,1800,"PESPUNTADOR A",34,"Primaria",2012-05-28,4,3,"PESPUNTADOR A-B",1,1,2,0,1800,1800,0,0
8386,231,"AVIO","masculino","LEON",3,850,"PRELIMINAR B",19,"Secundaria",2012-05-23,2,7,"PRELIMINAR A-B",2,1,2,0,850,850,0,0
8390,195,"PESPUNTE","femenino","LEON",3,850,"PRELIMINAR C",22,"Secundaria",2012-05-31,3,6,"PRELIMINAR C",5,1,2,0,850,850,0,0
8393,8,"PESPUNTE","masculino","LEON",1,453.32,"PESPUNTADOR A",33,"Secundaria",2013-04-09,4,0,"PESPUNTADOR A-B",1,0,3,1,453.32,1540,1086.68,15
